customerID,Contract,tenure,TenureGroup,MonthlyCharges,MonthlyChargesGroup,InternetService,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,Churn
0107-YHINA,Month-to-month,1,"0-12 months",99.75,High,"Fiber optic","Electronic check",No,No,Yes,Yes
7783-YKGDV,Month-to-month,12,"0-12 months",99.7,High,"Fiber optic","Bank transfer (automatic)",No,Yes,Yes,Yes
9305-CDSKC,Month-to-month,8,"0-12 months",99.65,High,"Fiber optic","Electronic check",No,No,Yes,Yes
2265-CYWIV,Month-to-month,4,"0-12 months",99.6,High,"Fiber optic","Electronic check",No,Yes,No,Yes
2012-NWRPA,Month-to-month,11,"0-12 months",99.55,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0897-FEGMU,Month-to-month,11,"0-12 months",99.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6210-KBBPI,Month-to-month,9,"0-12 months",99.45,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
7450-NWRTR,Month-to-month,12,"0-12 months",99.45,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6861-XWTWQ,Month-to-month,7,"0-12 months",99.25,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6956-SMUCM,Month-to-month,3,"0-12 months",99,High,"Fiber optic","Credit card (automatic)",No,Yes,Yes,Yes
9172-ANCRX,Month-to-month,10,"0-12 months",98.7,High,"Fiber optic","Electronic check",No,Yes,No,Yes
5138-WVKYJ,Month-to-month,10,"0-12 months",98.55,High,"Fiber optic","Electronic check",No,Yes,No,Yes
1455-UGQVH,Month-to-month,10,"0-12 months",98.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
9734-YWGEX,Month-to-month,9,"0-12 months",98.3,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
2446-BEGGB,Month-to-month,6,"0-12 months",98.25,High,"Fiber optic","Electronic check",No,No,No,Yes
2454-RPBRZ,Month-to-month,12,"0-12 months",98.1,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0655-RBDUG,Month-to-month,7,"0-12 months",98.05,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
6108-OQZDQ,Month-to-month,4,"0-12 months",97.95,High,"Fiber optic","Electronic check",No,No,No,Yes
8168-UQWWF,Month-to-month,11,"0-12 months",97.85,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
9057-SIHCH,Month-to-month,3,"0-12 months",96.6,High,"Fiber optic","Electronic check",No,No,No,Yes
1010-DIAUQ,Month-to-month,5,"0-12 months",96.5,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
7548-SEPYI,Month-to-month,5,"0-12 months",96.25,High,"Fiber optic","Electronic check",No,No,No,Yes
7526-BEZQB,Month-to-month,12,"0-12 months",96.05,High,"Fiber optic","Electronic check",No,No,No,Yes
3158-MOERK,Month-to-month,2,"0-12 months",96,High,"Fiber optic","Electronic check",No,No,No,Yes
2180-DXNEG,Month-to-month,12,"0-12 months",96,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0754-UKWQP,Month-to-month,2,"0-12 months",95.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3319-DWOEP,Month-to-month,6,"0-12 months",95.75,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6857-VWJDT,Month-to-month,1,"0-12 months",95.65,High,"Fiber optic","Mailed check",No,No,No,Yes
8413-VONUO,Month-to-month,2,"0-12 months",95.65,High,"Fiber optic","Electronic check",No,No,No,Yes
3585-ISXZP,Month-to-month,8,"0-12 months",95.65,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
3643-AHCFP,Month-to-month,7,"0-12 months",95.6,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
6356-ELRKD,Month-to-month,1,"0-12 months",95.6,High,"Fiber optic","Electronic check",No,Yes,No,Yes
0564-JJHGS,Month-to-month,9,"0-12 months",95.5,High,"Fiber optic","Electronic check",No,No,No,Yes
8098-LLAZX,Month-to-month,4,"0-12 months",95.45,High,"Fiber optic","Electronic check",No,No,No,Yes
0295-PPHDO,Month-to-month,1,"0-12 months",95.45,High,"Fiber optic","Electronic check",No,No,No,Yes
8357-EQXFO,Month-to-month,7,"0-12 months",95.35,High,"Fiber optic","Electronic check",No,No,Yes,Yes
2660-EMUBI,Month-to-month,10,"0-12 months",95.35,High,"Fiber optic","Electronic check",No,No,No,Yes
3049-SOLAY,Month-to-month,3,"0-12 months",95.2,High,"Fiber optic","Electronic check",No,No,No,Yes
2754-VDLTR,Month-to-month,10,"0-12 months",95.2,High,"Fiber optic","Electronic check",No,No,No,Yes
7851-WZEKY,Month-to-month,2,"0-12 months",95.15,High,"Fiber optic","Electronic check",No,No,No,Yes
6328-ZPBGN,Month-to-month,11,"0-12 months",95.15,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
9944-HKVVB,Month-to-month,3,"0-12 months",95.1,High,"Fiber optic","Electronic check",No,No,No,Yes
5178-LMXOP,Month-to-month,1,"0-12 months",95.1,High,"Fiber optic","Electronic check",No,No,No,Yes
3874-EQOEP,Month-to-month,7,"0-12 months",95,High,"Fiber optic","Mailed check",No,No,No,Yes
0094-OIFMO,Month-to-month,11,"0-12 months",95,High,"Fiber optic","Electronic check",No,No,No,Yes
0684-AOSIH,Month-to-month,1,"0-12 months",95,High,"Fiber optic","Electronic check",No,Yes,No,Yes
5349-IECLD,Month-to-month,2,"0-12 months",94.95,High,"Fiber optic","Electronic check",No,No,Yes,Yes
7209-JCUDS,Month-to-month,10,"0-12 months",94.9,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3387-VATUS,Month-to-month,5,"0-12 months",94.85,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
3045-XETSH,Month-to-month,10,"0-12 months",94.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
7943-RQCHR,Month-to-month,9,"0-12 months",94.75,High,"Fiber optic","Electronic check",No,No,No,Yes
0325-XBFAC,Month-to-month,8,"0-12 months",94.7,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6502-HCJTI,Month-to-month,7,"0-12 months",94.7,High,"Fiber optic","Credit card (automatic)",No,Yes,No,Yes
4910-GMJOT,Month-to-month,1,"0-12 months",94.6,High,"Fiber optic","Electronic check",No,No,No,Yes
5567-WSELE,Month-to-month,3,"0-12 months",94.6,High,"Fiber optic","Electronic check",No,No,No,Yes
6101-IMRMM,Month-to-month,6,"0-12 months",94.5,High,"Fiber optic","Mailed check",No,No,Yes,Yes
3217-FZDMN,Month-to-month,8,"0-12 months",94.45,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
4192-GORJT,Month-to-month,5,"0-12 months",94.45,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5698-BQJOH,Month-to-month,9,"0-12 months",94.4,High,"Fiber optic","Electronic check",No,No,No,Yes
9223-UCPVT,Month-to-month,1,"0-12 months",94.4,High,"Fiber optic","Electronic check",No,No,Yes,Yes
1374-DMZUI,Month-to-month,4,"0-12 months",94.3,High,"Fiber optic","Electronic check",No,No,No,Yes
2645-QTLMB,Month-to-month,7,"0-12 months",94.25,High,"Fiber optic","Electronic check",No,No,No,Yes
2929-ERCFZ,Month-to-month,8,"0-12 months",94.2,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5519-NPHVG,Month-to-month,12,"0-12 months",94.2,High,"Fiber optic","Electronic check",No,No,No,Yes
3006-XIMLN,Month-to-month,2,"0-12 months",94.2,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
1567-DSCIC,Month-to-month,8,"0-12 months",94,High,"Fiber optic","Electronic check",No,No,Yes,Yes
9300-AGZNL,Month-to-month,1,"0-12 months",94,High,"Fiber optic","Electronic check",No,No,No,Yes
2982-VPSGI,Month-to-month,11,"0-12 months",94,High,"Fiber optic","Electronic check",No,No,No,Yes
2720-WGKHP,Month-to-month,2,"0-12 months",94,High,"Fiber optic","Electronic check",No,No,No,Yes
5380-AFSSK,Month-to-month,5,"0-12 months",93.9,High,"Fiber optic","Mailed check",No,No,No,Yes
7024-OHCCK,Month-to-month,2,"0-12 months",93.85,High,"Fiber optic","Electronic check",No,No,No,Yes
4626-GYCZP,Month-to-month,7,"0-12 months",93.85,High,"Fiber optic","Electronic check",No,No,No,Yes
8149-RSOUN,Month-to-month,1,"0-12 months",93.85,High,"Fiber optic","Electronic check",No,No,No,Yes
4424-TKOPW,Month-to-month,2,"0-12 months",93.85,High,"Fiber optic","Electronic check",No,No,No,Yes
9497-QCMMS,Month-to-month,1,"0-12 months",93.55,High,"Fiber optic","Electronic check",No,No,No,Yes
9025-AOMKI,Month-to-month,6,"0-12 months",93.55,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
6521-YYTYI,Month-to-month,1,"0-12 months",93.3,High,"Fiber optic","Electronic check",No,No,No,Yes
2462-XIIJB,Month-to-month,5,"0-12 months",92.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
4145-UQXUQ,Month-to-month,8,"0-12 months",92.1,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5442-UTCVD,Month-to-month,3,"0-12 months",91.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
9940-HPQPG,Month-to-month,9,"0-12 months",91.75,High,"Fiber optic","Bank transfer (automatic)",No,Yes,Yes,Yes
6892-EZDTG,Month-to-month,4,"0-12 months",91.65,High,"Fiber optic","Electronic check",No,No,No,Yes
5095-AESKG,Month-to-month,3,"0-12 months",91.5,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
9546-CQJSU,Month-to-month,2,"0-12 months",91.4,High,"Fiber optic","Electronic check",No,No,Yes,Yes
8414-MYSHR,Month-to-month,5,"0-12 months",91.4,High,"Fiber optic","Electronic check",No,No,No,Yes
3988-RQIXO,Month-to-month,1,"0-12 months",91.3,High,"Fiber optic","Electronic check",No,No,No,Yes
3398-FSHON,Month-to-month,12,"0-12 months",91.3,High,"Fiber optic","Electronic check",No,No,No,Yes
2672-HUYVI,Month-to-month,6,"0-12 months",91.1,High,"Fiber optic","Electronic check",No,No,No,Yes
1389-CXMLU,Month-to-month,3,"0-12 months",91.05,High,"Fiber optic","Electronic check",No,No,Yes,Yes
2472-OVKUP,Month-to-month,6,"0-12 months",91,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5167-ZFFMM,Month-to-month,1,"0-12 months",90.85,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
9725-SCPZG,Month-to-month,1,"0-12 months",90.85,High,"Fiber optic","Electronic check",No,No,No,Yes
7330-WZLNC,Month-to-month,5,"0-12 months",90.8,High,"Fiber optic","Electronic check",No,No,No,Yes
9846-GKXAS,Month-to-month,9,"0-12 months",90.8,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
2725-KXXWT,Month-to-month,1,"0-12 months",90.75,High,"Fiber optic","Electronic check",No,No,No,Yes
5797-APWZC,Month-to-month,1,"0-12 months",90.6,High,"Fiber optic","Electronic check",No,No,No,Yes
8775-LHDJH,Month-to-month,1,"0-12 months",90.6,High,"Fiber optic","Electronic check",No,No,No,Yes
7294-TMAOP,Month-to-month,1,"0-12 months",90.55,High,"Fiber optic","Electronic check",No,No,No,Yes
7274-RTAPZ,Month-to-month,1,"0-12 months",90.55,High,"Fiber optic","Electronic check",No,No,No,Yes
1579-KLYDT,Month-to-month,7,"0-12 months",90.45,High,"Fiber optic","Electronic check",No,No,Yes,Yes
2034-GDRCN,Month-to-month,2,"0-12 months",90.4,High,"Fiber optic","Electronic check",No,No,No,Yes
8780-IXSTS,Month-to-month,6,"0-12 months",90.1,High,"Fiber optic","Electronic check",No,No,No,Yes
4228-ZGYUW,Month-to-month,4,"0-12 months",90.05,High,"Fiber optic","Electronic check",No,No,No,Yes
3027-ZTDHO,Month-to-month,1,"0-12 months",89.9,High,"Fiber optic","Electronic check",No,No,No,Yes
1624-NALOJ,Month-to-month,5,"0-12 months",89.8,High,"Fiber optic","Electronic check",No,No,No,Yes
8337-UPOAQ,Month-to-month,10,"0-12 months",89.8,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0135-NMXAP,Month-to-month,12,"0-12 months",89.75,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
8999-BOHSE,Month-to-month,11,"0-12 months",89.7,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
9565-DJPIB,Month-to-month,4,"0-12 months",89.6,High,"Fiber optic","Mailed check",No,No,No,Yes
0970-ETWGE,Month-to-month,1,"0-12 months",89.55,High,"Fiber optic","Electronic check",No,No,No,Yes
2074-GKOWZ,Month-to-month,2,"0-12 months",89.55,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
5644-PDMZC,Month-to-month,2,"0-12 months",89.5,High,"Fiber optic","Electronic check",No,No,No,Yes
9134-CEQMF,Month-to-month,7,"0-12 months",89.5,High,"Fiber optic","Electronic check",No,No,No,Yes
1724-BQUHA,Month-to-month,5,"0-12 months",89.5,High,"Fiber optic","Electronic check",No,No,No,Yes
4112-LUEIZ,Month-to-month,10,"0-12 months",89.5,High,"Fiber optic","Electronic check",No,No,No,Yes
2990-HWIML,Month-to-month,6,"0-12 months",89.5,High,"Fiber optic","Electronic check",No,No,No,Yes
7394-FKDNK,Month-to-month,9,"0-12 months",89.45,High,"Fiber optic","Electronic check",No,No,No,Yes
9611-CTWIH,Month-to-month,3,"0-12 months",89.45,High,"Fiber optic","Electronic check",No,No,No,Yes
7479-NITWS,Month-to-month,7,"0-12 months",89.35,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
0345-HKJVM,Month-to-month,6,"0-12 months",89.3,High,"Fiber optic","Electronic check",No,No,No,Yes
1415-YFWLT,Month-to-month,1,"0-12 months",89.3,High,"Fiber optic","Electronic check",No,No,No,Yes
2865-TCHJW,Month-to-month,4,"0-12 months",89.2,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3801-HMYNL,Month-to-month,1,"0-12 months",89.15,High,"Fiber optic","Mailed check",No,No,No,Yes
1455-ESIQH,Month-to-month,1,"0-12 months",89.1,High,"Fiber optic","Electronic check",No,No,No,Yes
4951-UKAAQ,Month-to-month,4,"0-12 months",88.95,High,"Fiber optic","Electronic check",No,No,No,Yes
5842-POCOP,Month-to-month,5,"0-12 months",88.9,High,"Fiber optic","Mailed check",No,Yes,Yes,Yes
1273-MTETI,Month-to-month,4,"0-12 months",88.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3068-OMWZA,Month-to-month,1,"0-12 months",88.8,High,"Fiber optic","Electronic check",No,No,Yes,Yes
4695-WJZUE,Month-to-month,2,"0-12 months",88.55,High,"Fiber optic","Electronic check",No,No,Yes,Yes
7228-OMTPN,Month-to-month,4,"0-12 months",88.45,High,"Fiber optic","Electronic check",No,No,No,Yes
3722-WPXTK,Month-to-month,1,"0-12 months",88.35,High,"Fiber optic","Electronic check",No,No,No,Yes
5318-IXUZF,Month-to-month,2,"0-12 months",87.15,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
6979-ZNSFF,Month-to-month,8,"0-12 months",87.05,High,"Fiber optic","Electronic check",No,No,No,Yes
4140-MUHUG,Month-to-month,3,"0-12 months",86.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3097-NQYSN,Month-to-month,2,"0-12 months",86.85,High,"Fiber optic","Mailed check",No,No,No,Yes
9451-LPGOO,Month-to-month,7,"0-12 months",86.8,High,"Fiber optic","Electronic check",No,No,No,Yes
7779-LGOVN,Month-to-month,10,"0-12 months",86.65,High,"Fiber optic","Electronic check",No,No,No,Yes
8603-IJWDN,Month-to-month,1,"0-12 months",86.6,High,"Fiber optic","Electronic check",No,No,No,Yes
5229-PRWKT,Month-to-month,8,"0-12 months",86.55,High,"Fiber optic","Electronic check",No,No,No,Yes
1925-TIBLE,Month-to-month,7,"0-12 months",86.5,High,"Fiber optic","Electronic check",No,No,No,Yes
8861-HGGKB,Month-to-month,10,"0-12 months",86.45,High,"Fiber optic","Electronic check",No,No,No,Yes
4285-GYRQC,Month-to-month,7,"0-12 months",86.25,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6275-YDUVO,Month-to-month,2,"0-12 months",86.2,High,"Fiber optic","Mailed check",No,No,Yes,Yes
1342-JPNKI,Month-to-month,10,"0-12 months",86.05,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
4826-XTSOH,Month-to-month,1,"0-12 months",86.05,High,"Fiber optic","Electronic check",No,No,No,Yes
6474-FVJLC,Month-to-month,2,"0-12 months",86,High,"Fiber optic","Electronic check",No,No,No,Yes
4844-JJWUY,Month-to-month,1,"0-12 months",86,High,"Fiber optic","Electronic check",No,No,No,Yes
4952-YSOGZ,Month-to-month,4,"0-12 months",85.95,High,"Fiber optic","Electronic check",No,No,No,Yes
0220-EBGCE,Month-to-month,2,"0-12 months",85.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3049-NDXFL,Month-to-month,1,"0-12 months",85.8,High,"Fiber optic","Mailed check",No,No,No,Yes
5192-EBGOV,Month-to-month,1,"0-12 months",85.7,High,"Fiber optic","Electronic check",No,No,No,Yes
1143-NMNQJ,Month-to-month,2,"0-12 months",85.7,High,"Fiber optic","Electronic check",No,No,No,Yes
0259-GBZSH,Month-to-month,2,"0-12 months",85.65,High,"Fiber optic","Electronic check",No,No,No,Yes
7488-MXJIV,Month-to-month,4,"0-12 months",85.65,High,"Fiber optic","Electronic check",No,No,No,Yes
0697-ZMSWS,Month-to-month,4,"0-12 months",85.65,High,"Fiber optic","Electronic check",No,No,No,Yes
7249-WBIYX,Month-to-month,10,"0-12 months",85.6,High,"Fiber optic","Electronic check",No,No,No,Yes
0235-KGSLC,Month-to-month,1,"0-12 months",85.55,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
5277-ZLOOR,Month-to-month,2,"0-12 months",85.55,High,"Fiber optic","Electronic check",No,No,No,Yes
3247-ZVOUO,Month-to-month,10,"0-12 months",85.55,High,"Fiber optic","Electronic check",No,No,No,Yes
9124-LHCJQ,Month-to-month,1,"0-12 months",85.45,High,"Fiber optic","Mailed check",No,No,No,Yes
5597-GLBUC,Month-to-month,1,"0-12 months",85.45,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3138-BKYAV,Month-to-month,6,"0-12 months",85.35,High,"Fiber optic","Electronic check",No,No,No,Yes
2691-NZETQ,Month-to-month,9,"0-12 months",85.35,High,"Fiber optic","Electronic check",No,No,No,Yes
5569-KGJHX,Month-to-month,9,"0-12 months",85.35,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
2952-QAYZF,Month-to-month,5,"0-12 months",85.3,High,"Fiber optic","Electronic check",No,No,Yes,Yes
8593-WHYHV,Month-to-month,3,"0-12 months",85.3,High,"Fiber optic","Electronic check",No,No,No,Yes
0195-IESCP,Month-to-month,10,"0-12 months",85.25,High,"Fiber optic","Electronic check",No,No,No,Yes
3106-ULWFW,Month-to-month,8,"0-12 months",85.2,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
3834-XUIFC,Month-to-month,7,"0-12 months",85.2,High,"Fiber optic","Mailed check",No,No,No,Yes
4548-SDBKE,Month-to-month,5,"0-12 months",85.2,High,"Fiber optic","Electronic check",No,No,No,Yes
4369-HTUIF,Month-to-month,6,"0-12 months",85.15,High,"Fiber optic","Bank transfer (automatic)",No,Yes,No,Yes
1069-XAIEM,Month-to-month,1,"0-12 months",85.05,High,"Fiber optic","Electronic check",No,No,No,Yes
2642-DTVCO,Month-to-month,9,"0-12 months",85.05,High,"Fiber optic","Electronic check",No,No,No,Yes
9282-IZGQK,Month-to-month,1,"0-12 months",85,High,"Fiber optic","Electronic check",No,No,No,Yes
6230-BSUXY,Month-to-month,1,"0-12 months",85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
8837-VVWLQ,Month-to-month,8,"0-12 months",84.95,High,"Fiber optic","Electronic check",No,Yes,No,Yes
8382-SHQEH,Month-to-month,8,"0-12 months",84.9,High,"Fiber optic","Electronic check",No,No,No,Yes
2379-ENZGV,Month-to-month,6,"0-12 months",84.85,High,"Fiber optic","Electronic check",No,No,No,Yes
6060-DRTNL,Month-to-month,5,"0-12 months",84.85,High,"Fiber optic","Mailed check",No,No,Yes,Yes
2202-CUYXZ,Month-to-month,1,"0-12 months",84.85,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0219-YTZUE,Month-to-month,4,"0-12 months",84.8,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
2205-YMZZJ,Month-to-month,7,"0-12 months",84.8,High,"Fiber optic","Electronic check",No,No,No,Yes
4706-AXVKM,Month-to-month,11,"0-12 months",84.8,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
3198-VELRD,Month-to-month,3,"0-12 months",84.75,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
1624-WOIWJ,Month-to-month,10,"0-12 months",84.7,High,"Fiber optic","Mailed check",No,Yes,No,Yes
7503-ZGUZJ,Month-to-month,1,"0-12 months",84.65,High,"Fiber optic","Mailed check",No,No,No,Yes
8937-RDTHP,Month-to-month,1,"0-12 months",84.6,High,"Fiber optic","Mailed check",No,Yes,No,Yes
4750-ZRXIU,Month-to-month,4,"0-12 months",84.6,High,"Fiber optic","Electronic check",No,No,No,Yes
0875-CABNR,Month-to-month,10,"0-12 months",84.6,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
8972-HJWNV,Month-to-month,7,"0-12 months",84.55,High,"Fiber optic","Electronic check",No,No,No,Yes
9367-WXLCH,Month-to-month,8,"0-12 months",84.5,High,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
7120-RFMVS,Month-to-month,1,"0-12 months",84.5,High,"Fiber optic","Electronic check",No,No,No,Yes
5520-FVEWJ,Month-to-month,12,"0-12 months",84.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
4919-IKATY,Month-to-month,5,"0-12 months",84.5,High,"Fiber optic","Electronic check",No,Yes,Yes,Yes
7613-LLQFO,Month-to-month,12,"0-12 months",84.45,High,"Fiber optic","Electronic check",No,No,No,Yes
8058-JMEQO,Month-to-month,9,"0-12 months",84.45,High,"Fiber optic","Electronic check",No,No,No,Yes
5357-TZHPP,Month-to-month,9,"0-12 months",84.4,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
7005-CCBKV,Month-to-month,6,"0-12 months",84.4,High,"Fiber optic","Electronic check",No,No,No,Yes
0196-VULGZ,Month-to-month,6,"0-12 months",84.35,High,"Fiber optic","Electronic check",No,No,No,Yes
2013-SGDXK,Month-to-month,1,"0-12 months",84.3,High,"Fiber optic","Electronic check",No,No,No,Yes
5868-YWPDW,Month-to-month,6,"0-12 months",84.2,High,"Fiber optic","Electronic check",No,No,No,Yes
1565-RHDJD,Month-to-month,4,"0-12 months",84.05,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
5383-MMTWC,Month-to-month,8,"0-12 months",84,High,"Fiber optic","Electronic check",No,No,No,Yes
3908-BLSYF,Month-to-month,6,"0-12 months",83.9,High,"Fiber optic","Electronic check",No,No,Yes,Yes
9965-YOKZB,Month-to-month,9,"0-12 months",83.85,High,"Fiber optic","Electronic check",No,No,No,Yes
0923-PNFUB,Month-to-month,3,"0-12 months",83.75,High,"Fiber optic","Electronic check",No,No,No,Yes
5685-IIXLY,Month-to-month,5,"0-12 months",83.6,High,"Fiber optic","Electronic check",No,No,No,Yes
5949-XIKAE,Month-to-month,8,"0-12 months",83.55,High,"Fiber optic","Electronic check",No,No,No,Yes
8417-FMLZI,Month-to-month,6,"0-12 months",83.55,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
8931-GJJIQ,Month-to-month,9,"0-12 months",83.3,High,"Fiber optic","Electronic check",No,No,No,Yes
6015-VVHHE,Month-to-month,5,"0-12 months",83.15,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
