customerID,tenure,Contract,MonthlyCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,Churn
5419-CONWX,4,Month-to-month,99.8,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
0107-YHINA,1,Month-to-month,99.75,"Fiber optic","Electronic check",No,No,Yes,Yes
7783-YKGDV,12,Month-to-month,99.7,"Fiber optic","Bank transfer (automatic)",No,Yes,Yes,Yes
9305-CDSKC,8,Month-to-month,99.65,"Fiber optic","Electronic check",No,No,Yes,Yes
2265-CYWIV,4,Month-to-month,99.6,"Fiber optic","Electronic check",No,Yes,No,Yes
2012-NWRPA,11,Month-to-month,99.55,"Fiber optic","Electronic check",No,No,Yes,Yes
0897-FEGMU,11,Month-to-month,99.5,"Fiber optic","Electronic check",No,No,Yes,Yes
6210-KBBPI,9,Month-to-month,99.45,"Fiber optic","Credit card (automatic)",No,No,No,Yes
7450-NWRTR,12,Month-to-month,99.45,"Fiber optic","Electronic check",No,No,Yes,Yes
4445-ZJNMU,9,Month-to-month,99.3,"Fiber optic","Credit card (automatic)",No,No,No,No
6861-XWTWQ,7,Month-to-month,99.25,"Fiber optic","Electronic check",No,No,Yes,Yes
6956-SMUCM,3,Month-to-month,99,"Fiber optic","Credit card (automatic)",No,Yes,Yes,Yes
9172-ANCRX,10,Month-to-month,98.7,"Fiber optic","Electronic check",No,Yes,No,Yes
5138-WVKYJ,10,Month-to-month,98.55,"Fiber optic","Electronic check",No,Yes,No,Yes
1455-UGQVH,10,Month-to-month,98.5,"Fiber optic","Electronic check",No,No,Yes,Yes
9734-YWGEX,9,Month-to-month,98.3,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
2446-BEGGB,6,Month-to-month,98.25,"Fiber optic","Electronic check",No,No,No,Yes
2454-RPBRZ,12,Month-to-month,98.1,"Fiber optic","Electronic check",No,No,Yes,Yes
0655-RBDUG,7,Month-to-month,98.05,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
6108-OQZDQ,4,Month-to-month,97.95,"Fiber optic","Electronic check",No,No,No,Yes
8168-UQWWF,11,Month-to-month,97.85,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
6645-MXQJT,2,Month-to-month,97.1,"Fiber optic","Electronic check",No,Yes,No,No
9057-SIHCH,3,Month-to-month,96.6,"Fiber optic","Electronic check",No,No,No,Yes
4566-NECEV,5,Month-to-month,96.55,"Fiber optic","Electronic check",No,No,Yes,No
1010-DIAUQ,5,Month-to-month,96.5,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
7548-SEPYI,5,Month-to-month,96.25,"Fiber optic","Electronic check",No,No,No,Yes
4060-LDNLU,7,Month-to-month,96.2,"Fiber optic","Electronic check",No,No,No,No
7526-BEZQB,12,Month-to-month,96.05,"Fiber optic","Electronic check",No,No,No,Yes
3158-MOERK,2,Month-to-month,96,"Fiber optic","Electronic check",No,No,No,Yes
2180-DXNEG,12,Month-to-month,96,"Fiber optic","Electronic check",No,No,Yes,Yes
0754-UKWQP,2,Month-to-month,95.85,"Fiber optic","Electronic check",No,No,Yes,Yes
3319-DWOEP,6,Month-to-month,95.75,"Fiber optic","Electronic check",No,No,Yes,Yes
6857-VWJDT,1,Month-to-month,95.65,"Fiber optic","Mailed check",No,No,No,Yes
8413-VONUO,2,Month-to-month,95.65,"Fiber optic","Electronic check",No,No,No,Yes
3585-ISXZP,8,Month-to-month,95.65,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
3643-AHCFP,7,Month-to-month,95.6,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
6356-ELRKD,1,Month-to-month,95.6,"Fiber optic","Electronic check",No,Yes,No,Yes
4929-XIHVW,2,Month-to-month,95.5,"Fiber optic","Credit card (automatic)",No,No,Yes,No
0564-JJHGS,9,Month-to-month,95.5,"Fiber optic","Electronic check",No,No,No,Yes
8098-LLAZX,4,Month-to-month,95.45,"Fiber optic","Electronic check",No,No,No,Yes
0295-PPHDO,1,Month-to-month,95.45,"Fiber optic","Electronic check",No,No,No,Yes
2984-AFWNC,3,Month-to-month,95.4,"Fiber optic","Electronic check",No,No,No,No
8357-EQXFO,7,Month-to-month,95.35,"Fiber optic","Electronic check",No,No,Yes,Yes
2660-EMUBI,10,Month-to-month,95.35,"Fiber optic","Electronic check",No,No,No,Yes
1960-UYCNN,10,Month-to-month,95.25,"Fiber optic","Electronic check",No,No,Yes,No
3049-SOLAY,3,Month-to-month,95.2,"Fiber optic","Electronic check",No,No,No,Yes
2754-VDLTR,10,Month-to-month,95.2,"Fiber optic","Electronic check",No,No,No,Yes
7851-WZEKY,2,Month-to-month,95.15,"Fiber optic","Electronic check",No,No,No,Yes
6328-ZPBGN,11,Month-to-month,95.15,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
9944-HKVVB,3,Month-to-month,95.1,"Fiber optic","Electronic check",No,No,No,Yes
5178-LMXOP,1,Month-to-month,95.1,"Fiber optic","Electronic check",No,No,No,Yes
3874-EQOEP,7,Month-to-month,95,"Fiber optic","Mailed check",No,No,No,Yes
0094-OIFMO,11,Month-to-month,95,"Fiber optic","Electronic check",No,No,No,Yes
0684-AOSIH,1,Month-to-month,95,"Fiber optic","Electronic check",No,Yes,No,Yes
5349-IECLD,2,Month-to-month,94.95,"Fiber optic","Electronic check",No,No,Yes,Yes
7398-SKNQZ,3,Month-to-month,94.9,"Fiber optic","Electronic check",No,No,No,No
7209-JCUDS,10,Month-to-month,94.9,"Fiber optic","Electronic check",No,No,Yes,Yes
3387-VATUS,5,Month-to-month,94.85,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
5150-ITWWB,3,Month-to-month,94.85,"Fiber optic","Electronic check",No,No,No,No
3045-XETSH,10,Month-to-month,94.85,"Fiber optic","Electronic check",No,No,Yes,Yes
5168-MSWXT,8,Month-to-month,94.75,"Fiber optic","Electronic check",No,No,Yes,No
7943-RQCHR,9,Month-to-month,94.75,"Fiber optic","Electronic check",No,No,No,Yes
6350-XFYGW,4,Month-to-month,94.75,"Fiber optic","Electronic check",No,No,Yes,No
0325-XBFAC,8,Month-to-month,94.7,"Fiber optic","Electronic check",No,No,Yes,Yes
6502-HCJTI,7,Month-to-month,94.7,"Fiber optic","Credit card (automatic)",No,Yes,No,Yes
4910-GMJOT,1,Month-to-month,94.6,"Fiber optic","Electronic check",No,No,No,Yes
5567-WSELE,3,Month-to-month,94.6,"Fiber optic","Electronic check",No,No,No,Yes
3338-CVVEH,12,Month-to-month,94.55,"Fiber optic","Electronic check",No,No,No,No
6101-IMRMM,6,Month-to-month,94.5,"Fiber optic","Mailed check",No,No,Yes,Yes
3217-FZDMN,8,Month-to-month,94.45,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
4192-GORJT,5,Month-to-month,94.45,"Fiber optic","Electronic check",No,No,Yes,Yes
5698-BQJOH,9,Month-to-month,94.4,"Fiber optic","Electronic check",No,No,No,Yes
9223-UCPVT,1,Month-to-month,94.4,"Fiber optic","Electronic check",No,No,Yes,Yes
1374-DMZUI,4,Month-to-month,94.3,"Fiber optic","Electronic check",No,No,No,Yes
2645-QTLMB,7,Month-to-month,94.25,"Fiber optic","Electronic check",No,No,No,Yes
2929-ERCFZ,8,Month-to-month,94.2,"Fiber optic","Electronic check",No,No,Yes,Yes
5519-NPHVG,12,Month-to-month,94.2,"Fiber optic","Electronic check",No,No,No,Yes
3006-XIMLN,2,Month-to-month,94.2,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
8161-QYMTT,7,Month-to-month,94.1,"Fiber optic","Electronic check",No,No,No,No
8087-LGYHQ,9,Month-to-month,94.05,"Fiber optic","Electronic check",No,No,Yes,No
6137-NICCO,6,Month-to-month,94.05,"Fiber optic","Mailed check",No,No,Yes,No
1567-DSCIC,8,Month-to-month,94,"Fiber optic","Electronic check",No,No,Yes,Yes
9300-AGZNL,1,Month-to-month,94,"Fiber optic","Electronic check",No,No,No,Yes
2982-VPSGI,11,Month-to-month,94,"Fiber optic","Electronic check",No,No,No,Yes
2720-WGKHP,2,Month-to-month,94,"Fiber optic","Electronic check",No,No,No,Yes
5380-AFSSK,5,Month-to-month,93.9,"Fiber optic","Mailed check",No,No,No,Yes
7024-OHCCK,2,Month-to-month,93.85,"Fiber optic","Electronic check",No,No,No,Yes
4626-GYCZP,7,Month-to-month,93.85,"Fiber optic","Electronic check",No,No,No,Yes
8149-RSOUN,1,Month-to-month,93.85,"Fiber optic","Electronic check",No,No,No,Yes
4424-TKOPW,2,Month-to-month,93.85,"Fiber optic","Electronic check",No,No,No,Yes
9497-QCMMS,1,Month-to-month,93.55,"Fiber optic","Electronic check",No,No,No,Yes
9025-AOMKI,6,Month-to-month,93.55,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
6521-YYTYI,1,Month-to-month,93.3,"Fiber optic","Electronic check",No,No,No,Yes
2462-XIIJB,5,Month-to-month,92.5,"Fiber optic","Electronic check",No,No,Yes,Yes
4145-UQXUQ,8,Month-to-month,92.1,"Fiber optic","Electronic check",No,No,Yes,Yes
3318-NMQXL,3,Month-to-month,92,"Fiber optic","Electronic check",No,No,No,No
5442-UTCVD,3,Month-to-month,91.85,"Fiber optic","Electronic check",No,No,Yes,Yes
9940-HPQPG,9,Month-to-month,91.75,"Fiber optic","Bank transfer (automatic)",No,Yes,Yes,Yes
6892-EZDTG,4,Month-to-month,91.65,"Fiber optic","Electronic check",No,No,No,Yes
5095-AESKG,3,Month-to-month,91.5,"Fiber optic","Credit card (automatic)",No,No,No,Yes
4927-WWOOZ,2,Month-to-month,91.45,"Fiber optic","Electronic check",No,No,Yes,No
9546-CQJSU,2,Month-to-month,91.4,"Fiber optic","Electronic check",No,No,Yes,Yes
8414-MYSHR,5,Month-to-month,91.4,"Fiber optic","Electronic check",No,No,No,Yes
3988-RQIXO,1,Month-to-month,91.3,"Fiber optic","Electronic check",No,No,No,Yes
3398-FSHON,12,Month-to-month,91.3,"Fiber optic","Electronic check",No,No,No,Yes
5091-HFAZW,2,Month-to-month,91.15,"Fiber optic","Electronic check",No,Yes,No,No
2672-HUYVI,6,Month-to-month,91.1,"Fiber optic","Electronic check",No,No,No,Yes
1389-CXMLU,3,Month-to-month,91.05,"Fiber optic","Electronic check",No,No,Yes,Yes
2472-OVKUP,6,Month-to-month,91,"Fiber optic","Electronic check",No,No,Yes,Yes
5167-ZFFMM,1,Month-to-month,90.85,"Fiber optic","Credit card (automatic)",No,No,No,Yes
9725-SCPZG,1,Month-to-month,90.85,"Fiber optic","Electronic check",No,No,No,Yes
7330-WZLNC,5,Month-to-month,90.8,"Fiber optic","Electronic check",No,No,No,Yes
9846-GKXAS,9,Month-to-month,90.8,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
4137-BTIKL,2,Month-to-month,90.75,"Fiber optic","Mailed check",No,Yes,No,No
8622-ZLFKO,6,Month-to-month,90.75,"Fiber optic","Electronic check",No,No,No,No
2725-KXXWT,1,Month-to-month,90.75,"Fiber optic","Electronic check",No,No,No,Yes
0432-CAJZV,3,Month-to-month,90.7,"Fiber optic","Mailed check",No,No,No,No
5339-PXDVH,4,Month-to-month,90.65,"Fiber optic","Electronic check",No,Yes,No,No
7928-VJYAB,11,Month-to-month,90.6,"Fiber optic","Electronic check",No,No,No,No
5797-APWZC,1,Month-to-month,90.6,"Fiber optic","Electronic check",No,No,No,Yes
8775-LHDJH,1,Month-to-month,90.6,"Fiber optic","Electronic check",No,No,No,Yes
7294-TMAOP,1,Month-to-month,90.55,"Fiber optic","Electronic check",No,No,No,Yes
7274-RTAPZ,1,Month-to-month,90.55,"Fiber optic","Electronic check",No,No,No,Yes
1579-KLYDT,7,Month-to-month,90.45,"Fiber optic","Electronic check",No,No,Yes,Yes
2034-GDRCN,2,Month-to-month,90.4,"Fiber optic","Electronic check",No,No,No,Yes
0258-NOKBL,3,Month-to-month,90.4,"Fiber optic","Electronic check",No,No,Yes,No
0139-IVFJG,2,Month-to-month,90.35,"Fiber optic","Electronic check",No,Yes,No,No
8212-DJRCH,5,Month-to-month,90.35,"Fiber optic","Mailed check",No,Yes,Yes,No
8780-IXSTS,6,Month-to-month,90.1,"Fiber optic","Electronic check",No,No,No,Yes
1941-HOSAM,1,Month-to-month,90.1,"Fiber optic","Electronic check",No,No,No,No
6969-MVBAI,9,Month-to-month,90.1,"Fiber optic","Electronic check",No,No,Yes,No
4228-ZGYUW,4,Month-to-month,90.05,"Fiber optic","Electronic check",No,No,No,Yes
3027-ZTDHO,1,Month-to-month,89.9,"Fiber optic","Electronic check",No,No,No,Yes
3071-VBYPO,3,Month-to-month,89.85,"Fiber optic","Electronic check",No,Yes,No,No
1624-NALOJ,5,Month-to-month,89.8,"Fiber optic","Electronic check",No,No,No,Yes
8337-UPOAQ,10,Month-to-month,89.8,"Fiber optic","Electronic check",No,No,Yes,Yes
0135-NMXAP,12,Month-to-month,89.75,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
3462-BJQQA,6,Month-to-month,89.75,"Fiber optic","Electronic check",No,No,No,No
8999-BOHSE,11,Month-to-month,89.7,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
9565-DJPIB,4,Month-to-month,89.6,"Fiber optic","Mailed check",No,No,No,Yes
5348-CAGXB,12,Month-to-month,89.55,"Fiber optic","Electronic check",No,No,Yes,No
0970-ETWGE,1,Month-to-month,89.55,"Fiber optic","Electronic check",No,No,No,Yes
2074-GKOWZ,2,Month-to-month,89.55,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
5644-PDMZC,2,Month-to-month,89.5,"Fiber optic","Electronic check",No,No,No,Yes
9134-CEQMF,7,Month-to-month,89.5,"Fiber optic","Electronic check",No,No,No,Yes
1724-BQUHA,5,Month-to-month,89.5,"Fiber optic","Electronic check",No,No,No,Yes
4112-LUEIZ,10,Month-to-month,89.5,"Fiber optic","Electronic check",No,No,No,Yes
2990-HWIML,6,Month-to-month,89.5,"Fiber optic","Electronic check",No,No,No,Yes
7394-FKDNK,9,Month-to-month,89.45,"Fiber optic","Electronic check",No,No,No,Yes
9611-CTWIH,3,Month-to-month,89.45,"Fiber optic","Electronic check",No,No,No,Yes
4847-TAJYI,6,Month-to-month,89.35,"Fiber optic","Electronic check",No,No,No,No
7479-NITWS,7,Month-to-month,89.35,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
4273-MBHYA,1,Month-to-month,89.35,"Fiber optic","Electronic check",No,No,No,No
0345-HKJVM,6,Month-to-month,89.3,"Fiber optic","Electronic check",No,No,No,Yes
1415-YFWLT,1,Month-to-month,89.3,"Fiber optic","Electronic check",No,No,No,Yes
7577-SWIFR,1,Month-to-month,89.25,"Fiber optic","Electronic check",No,No,No,No
2865-TCHJW,4,Month-to-month,89.2,"Fiber optic","Electronic check",No,No,Yes,Yes
1173-XZPYF,11,Month-to-month,89.2,"Fiber optic","Electronic check",No,No,Yes,No
4115-NZRKS,7,Month-to-month,89.15,"Fiber optic","Electronic check",No,No,No,No
3801-HMYNL,1,Month-to-month,89.15,"Fiber optic","Mailed check",No,No,No,Yes
5429-LWCMV,12,Month-to-month,89.15,"Fiber optic","Electronic check",No,No,No,No
4853-OITSN,5,Month-to-month,89.15,"Fiber optic","Electronic check",No,Yes,No,No
1455-ESIQH,1,Month-to-month,89.1,"Fiber optic","Electronic check",No,No,No,Yes
0187-QSXOE,7,Month-to-month,89,"Fiber optic","Electronic check",No,No,No,No
4951-UKAAQ,4,Month-to-month,88.95,"Fiber optic","Electronic check",No,No,No,Yes
5842-POCOP,5,Month-to-month,88.9,"Fiber optic","Mailed check",No,Yes,Yes,Yes
2657-VPXTA,10,Month-to-month,88.85,"Fiber optic","Electronic check",No,No,No,No
1273-MTETI,4,Month-to-month,88.85,"Fiber optic","Electronic check",No,No,Yes,Yes
3068-OMWZA,1,Month-to-month,88.8,"Fiber optic","Electronic check",No,No,Yes,Yes
4695-WJZUE,2,Month-to-month,88.55,"Fiber optic","Electronic check",No,No,Yes,Yes
7228-OMTPN,4,Month-to-month,88.45,"Fiber optic","Electronic check",No,No,No,Yes
4633-MKHYU,9,Month-to-month,88.4,"Fiber optic","Mailed check",No,No,No,No
3722-WPXTK,1,Month-to-month,88.35,"Fiber optic","Electronic check",No,No,No,Yes
4123-DVHPH,9,Month-to-month,88.05,"Fiber optic","Electronic check",No,Yes,No,No
5318-IXUZF,2,Month-to-month,87.15,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
4884-ZTHVF,8,Month-to-month,87.1,"Fiber optic","Electronic check",No,No,No,No
6979-ZNSFF,8,Month-to-month,87.05,"Fiber optic","Electronic check",No,No,No,Yes
4140-MUHUG,3,Month-to-month,86.85,"Fiber optic","Electronic check",No,No,Yes,Yes
3097-NQYSN,2,Month-to-month,86.85,"Fiber optic","Mailed check",No,No,No,Yes
9451-LPGOO,7,Month-to-month,86.8,"Fiber optic","Electronic check",No,No,No,Yes
7779-LGOVN,10,Month-to-month,86.65,"Fiber optic","Electronic check",No,No,No,Yes
8603-IJWDN,1,Month-to-month,86.6,"Fiber optic","Electronic check",No,No,No,Yes
7858-GTZSP,12,Month-to-month,86.55,"Fiber optic","Electronic check",No,No,No,No
5229-PRWKT,8,Month-to-month,86.55,"Fiber optic","Electronic check",No,No,No,Yes
1925-TIBLE,7,Month-to-month,86.5,"Fiber optic","Electronic check",No,No,No,Yes
8861-HGGKB,10,Month-to-month,86.45,"Fiber optic","Electronic check",No,No,No,Yes
4285-GYRQC,7,Month-to-month,86.25,"Fiber optic","Electronic check",No,No,Yes,Yes
6275-YDUVO,2,Month-to-month,86.2,"Fiber optic","Mailed check",No,No,Yes,Yes
3797-FKOGQ,11,Month-to-month,86.2,"Fiber optic","Electronic check",No,No,No,No
1342-JPNKI,10,Month-to-month,86.05,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
2038-OEQZH,4,Month-to-month,86.05,"Fiber optic","Electronic check",No,No,Yes,No
1212-GLHMD,3,Month-to-month,86.05,"Fiber optic","Mailed check",No,Yes,No,No
4826-XTSOH,1,Month-to-month,86.05,"Fiber optic","Electronic check",No,No,No,Yes
6474-FVJLC,2,Month-to-month,86,"Fiber optic","Electronic check",No,No,No,Yes
4844-JJWUY,1,Month-to-month,86,"Fiber optic","Electronic check",No,No,No,Yes
8734-DKSTZ,10,Month-to-month,85.95,"Fiber optic","Electronic check",No,No,No,No
4952-YSOGZ,4,Month-to-month,85.95,"Fiber optic","Electronic check",No,No,No,Yes
8132-YPVBX,6,Month-to-month,85.95,"Fiber optic","Mailed check",No,No,No,No
0220-EBGCE,2,Month-to-month,85.85,"Fiber optic","Electronic check",No,No,Yes,Yes
3049-NDXFL,1,Month-to-month,85.8,"Fiber optic","Mailed check",No,No,No,Yes
5192-EBGOV,1,Month-to-month,85.7,"Fiber optic","Electronic check",No,No,No,Yes
3916-NRPAP,3,Month-to-month,85.7,"Fiber optic","Credit card (automatic)",No,No,Yes,No
1143-NMNQJ,2,Month-to-month,85.7,"Fiber optic","Electronic check",No,No,No,Yes
0259-GBZSH,2,Month-to-month,85.65,"Fiber optic","Electronic check",No,No,No,Yes
7488-MXJIV,4,Month-to-month,85.65,"Fiber optic","Electronic check",No,No,No,Yes
7994-UYIVZ,8,Month-to-month,85.65,"Fiber optic","Bank transfer (automatic)",No,No,No,No
0697-ZMSWS,4,Month-to-month,85.65,"Fiber optic","Electronic check",No,No,No,Yes
7249-WBIYX,10,Month-to-month,85.6,"Fiber optic","Electronic check",No,No,No,Yes
0235-KGSLC,1,Month-to-month,85.55,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
5277-ZLOOR,2,Month-to-month,85.55,"Fiber optic","Electronic check",No,No,No,Yes
4395-PZMSN,5,Month-to-month,85.55,"Fiber optic","Electronic check",No,No,No,No
3247-ZVOUO,10,Month-to-month,85.55,"Fiber optic","Electronic check",No,No,No,Yes
2215-ZAFGX,9,Month-to-month,85.5,"Fiber optic","Electronic check",No,No,No,No
9124-LHCJQ,1,Month-to-month,85.45,"Fiber optic","Mailed check",No,No,No,Yes
5597-GLBUC,1,Month-to-month,85.45,"Fiber optic","Electronic check",No,No,Yes,Yes
3138-BKYAV,6,Month-to-month,85.35,"Fiber optic","Electronic check",No,No,No,Yes
2691-NZETQ,9,Month-to-month,85.35,"Fiber optic","Electronic check",No,No,No,Yes
5569-KGJHX,9,Month-to-month,85.35,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
2952-QAYZF,5,Month-to-month,85.3,"Fiber optic","Electronic check",No,No,Yes,Yes
8593-WHYHV,3,Month-to-month,85.3,"Fiber optic","Electronic check",No,No,No,Yes
2135-DQWAQ,5,Month-to-month,85.3,"Fiber optic","Mailed check",No,No,No,No
2959-FENLU,9,Month-to-month,85.3,"Fiber optic","Credit card (automatic)",No,No,Yes,No
0195-IESCP,10,Month-to-month,85.25,"Fiber optic","Electronic check",No,No,No,Yes
3106-ULWFW,8,Month-to-month,85.2,"Fiber optic","Credit card (automatic)",No,No,No,Yes
3834-XUIFC,7,Month-to-month,85.2,"Fiber optic","Mailed check",No,No,No,Yes
1200-TUZHR,8,Month-to-month,85.2,"Fiber optic","Electronic check",No,No,No,No
4548-SDBKE,5,Month-to-month,85.2,"Fiber optic","Electronic check",No,No,No,Yes
4369-HTUIF,6,Month-to-month,85.15,"Fiber optic","Bank transfer (automatic)",No,Yes,No,Yes
4536-PLEQY,12,Month-to-month,85.05,"Fiber optic","Credit card (automatic)",No,No,No,No
1069-XAIEM,1,Month-to-month,85.05,"Fiber optic","Electronic check",No,No,No,Yes
2642-DTVCO,9,Month-to-month,85.05,"Fiber optic","Electronic check",No,No,No,Yes
9282-IZGQK,1,Month-to-month,85,"Fiber optic","Electronic check",No,No,No,Yes
1628-BIZYP,1,Month-to-month,85,"Fiber optic","Electronic check",No,No,No,No
6230-BSUXY,1,Month-to-month,85,"Fiber optic","Electronic check",No,No,Yes,Yes
8837-VVWLQ,8,Month-to-month,84.95,"Fiber optic","Electronic check",No,Yes,No,Yes
8382-SHQEH,8,Month-to-month,84.9,"Fiber optic","Electronic check",No,No,No,Yes
2379-ENZGV,6,Month-to-month,84.85,"Fiber optic","Electronic check",No,No,No,Yes
6060-DRTNL,5,Month-to-month,84.85,"Fiber optic","Mailed check",No,No,Yes,Yes
2202-CUYXZ,1,Month-to-month,84.85,"Fiber optic","Electronic check",No,No,Yes,Yes
0219-YTZUE,4,Month-to-month,84.8,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
2205-YMZZJ,7,Month-to-month,84.8,"Fiber optic","Electronic check",No,No,No,Yes
0315-LVCRK,11,Month-to-month,84.8,"Fiber optic","Electronic check",No,No,Yes,No
4706-AXVKM,11,Month-to-month,84.8,"Fiber optic","Credit card (automatic)",No,No,No,Yes
3198-VELRD,3,Month-to-month,84.75,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
8242-SOQUO,5,Month-to-month,84.7,"Fiber optic","Electronic check",No,No,No,No
1624-WOIWJ,10,Month-to-month,84.7,"Fiber optic","Mailed check",No,Yes,No,Yes
7503-ZGUZJ,1,Month-to-month,84.65,"Fiber optic","Mailed check",No,No,No,Yes
8937-RDTHP,1,Month-to-month,84.6,"Fiber optic","Mailed check",No,Yes,No,Yes
4750-ZRXIU,4,Month-to-month,84.6,"Fiber optic","Electronic check",No,No,No,Yes
7517-LDMPS,12,Month-to-month,84.6,"Fiber optic","Electronic check",No,No,No,No
1319-YLZJG,12,Month-to-month,84.6,"Fiber optic","Electronic check",No,Yes,Yes,No
4912-PIGUY,1,Month-to-month,84.6,"Fiber optic","Electronic check",No,No,No,No
0875-CABNR,10,Month-to-month,84.6,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
8972-HJWNV,7,Month-to-month,84.55,"Fiber optic","Electronic check",No,No,No,Yes
9367-WXLCH,8,Month-to-month,84.5,"Fiber optic","Bank transfer (automatic)",No,No,No,Yes
7120-RFMVS,1,Month-to-month,84.5,"Fiber optic","Electronic check",No,No,No,Yes
5520-FVEWJ,12,Month-to-month,84.5,"Fiber optic","Electronic check",No,No,Yes,Yes
